	Neuronal	Astrocytic	Oligodendrocytic	Microglial
1367452_at	11.0946209279781	11.1406415321606	11.2234634249288	10.9484872738645
1367453_at	9.72811341665725	9.71779198358002	10.0628555437647	10.0661124203887
1367454_at	9.97033308912438	10.4621254730356	10.059018048771	10.0741834134635
1367455_at	10.9045045847088	10.877799017116	11.1523637493695	10.8377056785489
1367456_at	10.2890873153253	10.6898207327984	10.9999529262383	11.0603360354761
1367457_at	9.97971440884623	9.79386544005985	9.83939168314977	9.7369948056081
1367458_at	7.88297580168454	7.65743674633523	7.73866781879239	7.86667781777406
1367459_at	11.9690500529239	11.3836227701227	11.9514948035595	11.7177307339131
1367460_at	11.3825342891608	11.7330107114254	12.0237642464489	12.099134332293
1367461_at	9.44098116183263	9.78956442659407	9.75928829594045	9.77543577289558
1367462_at	9.84932106810698	10.54785884752	10.7295906847733	10.5587814072737
1367463_at	10.0951772841794	10.0644108233784	10.2939149191799	10.3587528838182
1367464_at	9.85896933744263	9.98613823906023	10.588892339931	9.95589560874188
1367465_at	9.81444631741874	10.1438638557608	9.88789890257829	9.67893738973935
1367466_at	9.90016661264816	9.5012424913706	9.7161967185071	9.7812087618083
1367467_at	9.36445606380136	10.3434886530439	9.63262414192599	9.92547298101017
1367468_at	9.16239705923484	9.05286233558176	9.35912717903921	9.61411133924824
1367469_at	11.9347068085084	12.1829838728718	12.1347040841839	11.8141865109446
1367470_at	10.0225338927052	10.4904825064289	10.012714478457	9.83836307947733
1367471_at	8.36002335361825	9.35475744242448	8.68045877829298	9.33838319858165
1367472_at	10.9247418876034	10.4483265290846	10.8015275314883	10.6109568540425
1367473_at	9.63278150156985	9.51495253207399	9.92970784271969	9.81636213089616
1367474_at	8.72898009253436	9.22721729317767	9.09708473966867	9.03790950761845
1367475_at	10.0194966436785	10.7105545781674	10.9624368480498	11.3225222236719
1367476_at	11.577628945452	11.8903851727929	11.4259847443935	11.5021639222657
1367477_at	9.72699608790738	9.57459664582181	10.0542770142451	9.6887619926238
1367478_at	8.85451743914565	8.65053113247392	8.10319907604187	9.06493228072034
1367479_at	11.3171289579349	10.3853781461927	11.0230365751197	10.9190205608279
1367480_at	9.45439852442399	10.3394870418405	10.2533045464917	10.3045425783998
1367481_at	9.41356310607379	9.96688112908737	9.178471046379	9.31181255624956
1367482_at	9.59872657672713	9.92579171826867	9.93930304025799	9.87783953339371
1367483_at	8.17861452311326	8.64977363132144	8.43160355721369	8.95565784659445
1367484_at	10.273711929514	10.1059163064046	10.1911930709505	10.1318210993622
1367485_at	9.93228544789257	10.1957460139597	10.0285938024456	10.0342845636742
1367486_at	7.87192688954445	8.3450813748747	8.64184589337166	8.40456649436131
1367487_at	8.23126989284958	7.88850768439042	8.03305959607339	8.06424532583188
1367488_at	8.64640934141588	7.85416018479669	8.12404987884351	7.89090375800211
1367489_at	7.75030444627188	7.03991964415547	7.02792342705532	7.00707085819896
1367490_at	8.19101221139632	7.93197035637142	8.04385242645416	7.8486792983607
1367491_at	8.37920255324366	8.99884690761919	9.20668896661235	9.16933558020302
1367492_at	9.33057342223507	9.50009105115981	9.49925665819831	9.83177448193344
1367493_at	9.58774417356407	9.64402381446056	9.98211437451099	9.90666981036477
1367494_at	9.63610568782351	10.3060394372202	10.24055896911	10.5560030579489
1367495_at	9.6662480965183	9.17819509109746	9.65758981468922	9.22052343400614
1367496_at	9.92992766862318	10.3914984510571	10.0639172039437	10.2847084247737
1367497_at	9.72584208525856	9.8186712267303	10.6619543826113	10.0976251872911
1367498_at	9.21291281656307	8.83743162618348	9.02680115624928	8.89110624376309
1367499_at	8.12597879696067	7.30289701890276	7.92170873997037	7.89840846114991
1367500_at	9.86595819661118	10.2866465908241	10.4516837872814	10.4870600520612
1367501_at	7.96563532136015	7.83547248026171	8.18727804232675	7.91451633799757
1367502_at	7.7783574875025	8.24818399093587	8.00845169845258	8.00248460136333
1367503_at	9.47004149932736	10.6151331608177	10.4480555249163	11.4768545546321
1367504_at	8.55989540778435	8.17437879408381	8.73463544594089	8.17050819227576
1367505_at	8.40337421593492	7.74404511779241	8.22345897353297	7.92752393302255
1367506_at	8.35645646944967	8.37839709865026	8.62927456451127	8.68070011849098
1367507_at	5.86947405002712	6.26563372923122	5.99311778942218	6.35050715450476
1367508_at	8.02459277889198	7.58601540197833	8.0292976911875	7.88721481404599
1367509_at	10.7301805320707	10.353122865915	9.9257494526428	9.64313902042489
1367510_at	9.72356193552657	10.502808311233	9.56231512480738	9.14215245651849
1367511_at	7.81850396339992	9.17261233823434	8.85335422549512	9.56656703056126
1367512_at	10.9786653174005	11.4758835591637	11.5717660456585	10.9966240141336
1367513_at	8.26593553269874	8.37628316283118	8.232494328856	7.99837531276141
1367514_at	7.83248452481713	8.7299568288772	7.9991650869864	8.49087263081095
1367515_at	9.04215039117162	8.41608375036077	9.08716913440302	8.24232726910963
1367516_at	8.80692630082063	8.44839235300498	8.17481061089421	9.0202643469749
1367517_at	6.1249095385422	6.97402417519072	7.9168774987754	7.35175579052607
1367518_at	9.62666565420639	9.0660113364554	8.85078170506287	8.48942373316023
1367519_at	9.19940690737964	8.60639056602322	8.24415247815351	9.09510346367396
1367520_at	9.48483426374588	10.0831777412184	8.93824971372357	9.08466157285718
1367521_at	7.30469435506764	6.28224868486437	7.13556691328995	7.447055151955
1367522_at	9.2574227805982	8.65496769870017	8.99849654780355	8.72444339878517
1367523_at	9.82324675066672	9.4237079246006	10.0599721047793	10.1099808741547
1367524_at	6.52371169822844	6.67342692315034	6.79830686801172	7.38060287572074
1367525_at	8.60841682236085	9.1648107776283	9.37484848826518	9.50207558117188
1367526_at	9.20902375784619	9.0344803138987	9.06061529308731	9.14152855413444
1367527_at	7.84208221919142	8.23126955792825	8.52766664921667	8.68607723301286
1367528_at	8.91220812122484	9.17982432524163	8.8598744013064	8.94123523212801
1367529_at	8.37935261997307	8.55071630094398	8.70854673885288	8.74772093430769
